rms,centroid,bandwidth,zcr,flatness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
0.012047735,3171.170261634123,4662.965650412629,0.03104769218050468,0.0022197978,-488.23587,91.17244,9.424347,41.974167,30.481554,20.961208,18.053978,14.681337,9.673179,8.282585,0.8220562,1.8936393,-2.1047823,clean
0.0962649,1285.0567687940315,1183.5405097806079,0.04852703580588553,0.0025301804,-340.23193,232.30623,0.363368,-44.112347,-9.1095915,-6.4470506,-10.147033,-4.992646,-0.93729645,-2.8799493,-6.2495446,-5.578404,-4.9033074,clean
0.031516775,4325.702629875727,5522.607834662686,0.04306428328804348,0.006182467,-512.6867,51.627636,75.1908,51.15161,15.770699,20.878757,6.9794188,7.668652,-5.1302543,4.7402773,-8.184037,3.0881348,-11.471077,clean
0.055287503,574.8895967681266,1129.3648263542332,0.013707538121600622,2.324441e-05,-418.81464,174.20833,56.73624,27.404053,21.498844,13.608395,3.9914093,-4.503089,-9.529885,-10.169911,-6.724104,-0.09849298,-5.8293715,clean
0.06475329,1551.5059416135095,3263.6681567383002,0.011461163949275363,0.0010915013,-428.21686,117.32081,39.080776,30.070425,17.701565,12.425723,3.953621,4.1055083,3.4726915,4.6496363,3.2627208,0.93129504,-2.9822664,clean
0.092810765,1519.2709856076563,1286.4550510049758,0.051247871118504436,0.00059803814,-252.12967,229.55736,-72.6227,-13.916498,13.809173,-29.967503,-8.338502,-7.436362,-16.063063,0.46236402,-5.1388907,-12.917125,-6.39012,clean
0.06177213,1802.227944070659,2897.3554160197536,0.028593218938821753,0.002561092,-390.4774,141.7563,19.98776,14.987593,11.886288,9.885693,6.3226476,5.7256236,-5.505309,-10.849007,-12.28061,-9.813452,-8.651949,clean
0.088645734,933.1033041029131,2277.0559763859774,0.017088428442028986,0.014738542,-372.96255,176.4426,75.83996,45.947594,12.436518,-0.98292315,-9.413779,-9.898464,-10.205156,-4.327112,-12.258632,-9.302781,-15.205689,clean
0.10709226,2440.044663137634,2675.858527114866,0.060150588768115944,0.0022759528,-295.92252,129.1126,-51.855644,34.23639,-5.936287,-10.899909,3.290844,-5.885565,-5.613339,1.3905615,-0.49045166,-6.913108,-10.824876,clean
0.106526345,2389.582863137895,2628.8923564667857,0.05610309347982709,0.0020377678,-305.75775,130.47534,-52.669308,35.047104,-2.1067898,-9.4524,3.1749022,-6.138005,-8.677822,-7.693842,-7.6672544,-3.529271,-3.5243785,clean
0.10913479,2384.191217228063,2654.5575692851576,0.059921308876811595,0.0018808796,-300.22443,123.71845,-47.64673,33.921387,-1.7860171,-7.103551,5.336613,-2.8850617,-7.7518153,-6.772574,-7.80918,-6.8814964,-1.153831,clean
0.02514588,1615.6252957724535,2326.4070350517136,0.04244514627659574,0.0008265057,-552.8541,107.358574,11.112813,-3.081768,-2.7338161,-17.038683,-18.479952,-13.06007,-8.330935,-1.3128654,4.588604,8.009174,7.897335,clean
0.10692226,862.399730528898,1229.1423328523906,0.017726840101522843,0.044247385,-384.14563,144.66594,3.2068152,4.176116,24.608587,4.457913,0.26934835,-0.42256182,-11.096508,-10.984723,-11.298971,-16.114132,-11.9985285,clean
0.06396487,1002.6508585393497,2088.0503615483353,0.013800595495729455,8.2460734e-05,-410.22202,130.4094,43.63842,28.370249,22.62792,18.640049,13.454974,13.143695,10.69315,3.6194425,-2.4142866,-4.847423,-5.9006195,clean
0.08995495,704.0924529567656,1507.1542953837338,0.013531747531237405,2.8000579e-05,-368.8872,155.7024,51.7407,30.712597,18.483156,12.806941,13.259089,11.553257,2.122064,-5.7042274,-7.2556114,-8.100987,-8.749638,clean
0.26619807,3437.094655503467,3492.8922900289376,0.08289002276677751,0.0017540297,-75.187904,113.61333,-59.39069,40.42448,17.340214,33.86435,0.7155574,18.18599,-1.5920328,23.288074,-2.4840195,14.103005,-6.0544043,clean
0.008598202,1160.664481984673,1843.76122418976,0.01856735517393868,0.02197693,-632.50867,216.3876,55.814106,-2.4123397,5.2962527,6.2595854,2.656865,3.2365234,1.1306365,-3.278401,-4.4803357,-2.3672707,-0.27422598,clean
0.073632024,982.5951736564216,1204.3589935070406,0.027412930898165717,0.0009569877,-390.05566,192.40442,0.40043154,-3.766675,21.914255,-10.988222,-14.832066,-0.2991084,-14.723802,-23.820438,-11.168419,-12.097523,-22.633593,clean
0.07876098,826.0005336657189,831.6483023500022,0.028372171041848776,0.036728956,-340.37885,212.76027,4.8882613,-24.263296,23.220041,13.015606,-6.6560807,-2.1686418,-6.570571,-10.510397,-1.264569,-0.99610823,-6.51405,clean
0.12629704,802.9932037734335,944.4813854481848,0.02430498089191141,0.0066518937,-348.79886,220.79694,9.967195,-19.292215,31.847023,21.499023,-4.2583337,-3.7068734,-6.6940103,-10.605471,-2.7766662,-1.0450826,-8.672376,clean
0.0572412,876.2805480361212,1691.092608726737,0.021751182452853,4.4606604e-05,-378.61285,224.8391,25.874773,4.849482,2.5797522,3.2859037,-0.123238124,-8.217459,-14.44564,-16.945066,-13.934625,-5.022166,-3.7776086,clean
0.059954874,647.1773504150909,896.3610878808727,0.02389555881286267,3.3518866e-06,-385.39517,179.51988,55.087246,1.0015951,5.321044,6.198934,-3.8527277,-8.97198,-8.878686,-9.445209,-10.838461,-9.932884,-7.4801188,clean
0.094857454,792.927516002609,1606.326819619726,0.0203250612004352,1.7926082e-05,-355.8058,216.62866,31.733007,15.772221,6.0372887,1.9172673,-1.1929424,-8.298212,-8.114794,-7.6191444,-11.677916,-7.0565133,-6.991377,clean
0.05191372,628.8002687341171,816.5653978558498,0.022499659997582206,1.5235714e-06,-374.1921,179.07747,58.87253,3.1084154,6.4690804,9.353848,-1.1551979,-10.803719,-15.306639,-15.287488,-10.268354,-2.5981646,2.019678,clean
0.08319043,718.726909357727,1406.574784614547,0.018466381316489363,1.0199177e-05,-351.59332,227.30402,32.578728,13.3969555,7.594345,5.605102,2.098433,-9.242769,-15.335345,-16.58405,-8.840905,-0.0020593759,3.599971,clean
0.05422821,637.742132768878,825.1572082517184,0.023684001752901356,1.5516468e-06,-360.3913,169.47704,56.88672,1.9578888,3.0667381,6.2783823,-1.371588,-6.2604656,-5.683869,-4.7591724,-5.04376,-5.414055,-6.09703,clean
0.08383035,746.1855218883786,1468.5662160010006,0.019475527381528045,1.59121e-05,-350.25763,225.1728,32.67569,13.38267,2.5332556,1.7109671,0.5588604,-3.6967254,-5.9563813,-2.037452,-3.9100955,-4.88914,-4.2317796,clean
